ocode,occupation,projemp
4421,Prison Officers,8.50337678845509
4422,Security Officers and Guards,9.920964876420726
4420,Prison and Security Officers nfd,0
4400,Protective Service Workers nfd,0
4511,Beauty Therapists,18.71326023745699
4512,Driving Instructors,6.7621821133079365
4513,Funeral Workers,6.69863832623203
4514,"Gallery, Museum and Tour Guides",19.094582767904907
4515,Personal Care Consultants,14.4384917448316
4516,Tourism and Travel Advisers,5.326727112595169
4517,Travel Attendants,6.762182113307944
4518,Other Personal Service Workers,19.60335506241163
4510,Personal Service and Travel Workers nfd,0
4521,Fitness Instructors,18.420536146020485
4522,Outdoor Adventure Guides,26.51580316997585
4523,"Sports Coaches, Instructors and Officials",20.13021084347997
4524,Sportspersons,17.679795013643044
4520,Sports and Fitness Workers nfd,0
4500,Sports and Personal Service Workers nfd,0
4000,Community and Personal Service Workers nfd,0
5111,"Contract, Program and Project Administrators",-14.54821198886423
5121,Office Managers,-1.0683431468477869
5122,Practice Managers,10.250903060667117
5120,Office and Practice Managers nfd,0
5100,Office Managers and Program Administrators nfd,0
5211,Personal Assistants,-11.021543035017267
5212,Secretaries,-32.45283714920792
5210,Personal Assistants and Secretaries nfd,0
5311,General Clerks,4.873108101184083
5321,Keyboard Operators,-1.554304612166284
5300,General Clerical Workers nfd,-4.231118631469675
5411,Call or Contact Centre Workers,5.109315088699733
5412,Information Officers,-6.564526952586556
5410,Call or Contact Centre Information Clerks nfd,-0.9966234619746757
5421,Receptionists,4.694862524459897
5400,Inquiry Clerks and Receptionists nfd,-5.779771362510532
5511,Accounting Clerks,-1.1273491588312332
5512,Bookkeepers,2.1134707874542347
5513,Payroll Clerks,4.372083210559829
5510,Accounting Clerks and Bookkeepers nfd,0
5521,Bank Workers,-5.459081414146832
5522,Credit and Loans Officers,9.053509135988564
5523,"Insurance, Money Market and Statistical Clerks",-7.620605565920625
5520,Financial and Insurance Clerks nfd,0
5500,Numerical Clerks nfd,-4.3726475793951485
5611,Betting Clerks,0.9848366916120698
5612,Couriers and Postal Deliverers,0.9628429891009997
5613,Filing and Registry Clerks,0.5239792677556516
5614,Mail Sorters,-13.174289968111799
5615,Survey Interviewers,1.0854317483877653
5616,Switchboard Operators,-17.574462500335844
5619,Other Clerical and Office Support Workers,1.7740877227429994
5610,Clerical and Office Support Workers nfd,-2.7372689016166176
5911,Purchasing and Supply Logistics Clerks,4.541180505013277
5912,Transport and Despatch Clerks,7.15693590408692
5910,Logistics Clerks nfd,0.38785850204604316
5991,Conveyancers and Legal Executives,7.628394615845117
5992,Court and Legal Clerks,8.451666840948183
5993,Debt Collectors,2.0022704894489562
5994,Human Resource Clerks,-0.25397450530758703
5995,Inspectors and Regulatory Officers,1.0999519334710637
5996,"Insurance Investigators, Loss Adjusters and Risk Surveyors",3.2167869106131572
5997,Library Assistants,-4.381526706138004
5999,Other Miscellaneous Clerical and Administrative Workers,3.6772266818649904
5990,Miscellaneous Clerical and Administrative Workers nfd,0
5900,Other Clerical and Administrative Workers nfd,0
5000,Clerical and Administrative Workers nfd,5.461540719498335
6111,"Auctioneers, and Stock and Station Agents",5.706125296604522
6112,Insurance Agents,1.6966538359046375
6113,Sales Representatives,0.542894026065011
6110,Insurance Agents and Sales Representatives nfd,0
6121,Real Estate Sales Agents,7.279178465234176
6100,Sales Representatives and Agents nfd,0
6211,Sales Assistants (General),1.438468151271057
6212,ICT Sales Assistants,5.358012515565879
6213,Motor Vehicle and Vehicle Parts Salespersons,3.53350010603481
6214,Pharmacy Sales Assistants,2.4059549371009625
6215,Retail Supervisors,-0.7578534758307758
6216,Service Station Attendants,6.454385982844971
6217,Street Vendors and Related Salespersons,6.501395999549452
6219,Other Sales Assistants and Salespersons,5.16543655279753
6210,Sales Assistants and Salespersons nfd,-3.7429170093555486
6311,Checkout Operators and Office Cashiers,0.4618594621411648
6391,Models and Sales Demonstrators,0
6392,Retail and Wool Buyers,10.767266299272213
6393,Telemarketers,0.8089289064096412
6394,Ticket Salespersons,6.70959720563075
6395,Visual Merchandisers,10.27600064298038
6399,Other Sales Support Workers,10.767266299272205
6390,Miscellaneous Sales Support Workers nfd,0
6300,Sales Support Workers nfd,0
6000,Sales Workers nfd,-4.561018020328525
7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",15.179992200931236
7112,Industrial Spraypainters,-3.875779023779111
7113,Paper and Wood Processing Machine Operators,-8.543864461786832
7114,Photographic Developers and Printers,-15.262258455596694
7115,Plastics and Rubber Production Machine Operators,-15.210704878572196
7116,Sewing Machinists,-12.37465614202355
7117,Textile and Footwear Production Machine Operators,-7.7315043663648515
7119,Other Machine Operators,0
7110,Machine Operators nfd,5.032575315421901
7121,"Crane, Hoist and Lift Operators",-14.967430166966288
7122,"Drillers, Miners and Shot Firers",2.547886476016803
7123,Engineering Production Workers,-23.883569453448704
7129,Other Stationary Plant Operators,4.806109394428024
7120,Stationary Plant Operators nfd,-3.5926226897494624
7100,Machine and Stationary Plant Operators nfd,0
7211,"Agricultural, Forestry and Horticultural Plant Operators",12.332751259936575
7212,Earthmoving Plant Operators,0.535514268393755
7213,Forklift Drivers,6.434569578546236
7219,Other Mobile Plant Operators,11.48491741215846
7210,Mobile Plant Operators nfd,0
7311,Automobile Drivers,16.234546663774033
7312,Bus and Coach Drivers,3.8472492409639845
7313,Train and Tram Drivers,5.015901524423054
7310,"Automobile, Bus and Rail Drivers nfd",0
7321,Delivery Drivers,9.516747855007692
7331,Truck Drivers,6.618485546424037
7300,Road and Rail Drivers nfd,1.6944582828073735
7411,Storepersons,1.3732144099258596
7000,Machinery Operators and Drivers nfd,4.4169642765942525
8111,Car Detailers,-2.1360210722353035
8112,Commercial Cleaners,3.748712565656541
8113,Domestic Cleaners,5.226248978136291
8114,Housekeepers,12.539610430500373
8115,Laundry Workers,4.533658127558921
8116,Other Cleaners,-3.9904895620311263
8110,Cleaners and Laundry Workers nfd,-2.3771927432049136
8211,Building and Plumbing Labourers,9.15390962152788
8212,Concreters,11.38248697368269
8213,Fencers,3.9752531322503533
8214,Insulation and Home Improvement Installers,8.069797989035854
8215,Paving and Surfacing Labourers,1.3721942625415595
8216,Railway Track Workers,10.105202078358195
8217,Structural Steel Construction Workers,14.159451484679266
8219,Other Construction and Mining Labourers,4.196249018569847
8210,Construction and Mining Labourers nfd,1.3080013575975638
8311,Food and Drink Factory Workers,10.097140353184233
8312,"Meat Boners and Slicers, and Slaughterers",0.9386389649449711
8313,"Meat, Poultry and Seafood Process Workers",0.9960486037678332
8310,Food Process Workers nfd,1.2459092837230208
8321,Packers,1.5654864125793506
8322,Product Assemblers,6.29692241558127
8320,Packers and Product Assemblers nfd,0
8391,Metal Engineering Process Workers,-14.599441689242317
8392,Plastics and Rubber Factory Workers,-13.531697838267554
8393,Product Quality Controllers,-2.940947558355683
8394,Timber and Wood Process Workers,-11.730187287847327
8399,Other Factory Process Workers,-2.4690667919266223
8390,Miscellaneous Factory Process Workers nfd,0
8300,Factory Process Workers nfd,-4.647199459546284
8411,Aquaculture Workers,2.508213526492134
8412,Crop Farm Workers,5.082949860720438
8413,Forestry and Logging Workers,-0.421631405509287
8414,Garden and Nursery Labourers,0.2446832208428085
8415,Livestock Farm Workers,-5.712553234114029
8416,Mixed Crop and Livestock Farm Workers,-1.588597148552901
8419,"Other Farm, Forestry and Garden Workers",6.6190478186236685
8410,"Farm, Forestry and Garden Workers nfd",0
8511,Fast Food Cooks,10.556544055264672
8512,Food Trades Assistants,0
8513,Kitchenhands,11.660212524920547
8510,Food Preparation Assistants nfd,0
8911,Freight and Furniture Handlers,5.847628897527777
8912,Shelf Fillers,8.582060142685782
8910,Freight Handlers and Shelf Fillers nfd,0
8991,Caretakers,-2.7441437412395953
8992,Deck and Fishing Hands,0
8993,Handypersons,9.511647331624804
8994,Motor Vehicle Parts and Accessories Fitters,-0.44786678691024495
8995,Printing Assistants and Table Workers,-10.362472496188632
8996,Recycling and Rubbish Collectors,-10.36247249618863
8997,Vending Machine Attendants,-4.0138159260968695
8999,Other Miscellaneous Labourers,2.2383288241864303
8900,Other Labourers nfd,0
8990,Miscellaneous Labourers nfd,-0.3945452470249266
8000,Labourers nfd,0.9645680052040042
